"","genre","subgenre","year","subgenre_mean"
"458","r&b","new jack swing",2001,29.25
"459","r&b","new jack swing",2002,20.7352941176471
"460","r&b","new jack swing",2003,27.4838709677419
"461","r&b","new jack swing",2004,29.96875
"462","r&b","new jack swing",2005,17.8510638297872
"463","r&b","new jack swing",2006,11.5625
"464","r&b","new jack swing",2007,19.8333333333333
"465","r&b","new jack swing",2008,18.2105263157895
"466","r&b","new jack swing",2009,13.3529411764706
"467","r&b","new jack swing",2010,21.2307692307692
"468","r&b","new jack swing",2011,7.6875
"469","r&b","new jack swing",2012,10.5333333333333
"470","r&b","new jack swing",2013,16
"471","r&b","new jack swing",2014,16.28125
"472","r&b","new jack swing",2015,18
"473","r&b","new jack swing",2016,24.6666666666667
"474","r&b","new jack swing",2017,7.66666666666667
"475","r&b","new jack swing",2018,58
"476","r&b","new jack swing",2019,18.5
"477","r&b","urban contemporary",1957,59
"478","r&b","urban contemporary",1960,19
"479","r&b","urban contemporary",1961,47
"480","r&b","urban contemporary",1962,64
"481","r&b","urban contemporary",1965,40.6666666666667
"482","r&b","urban contemporary",1966,37
"483","r&b","urban contemporary",1967,66
"484","r&b","urban contemporary",1968,72
"485","r&b","urban contemporary",1969,62.25
"486","r&b","urban contemporary",1970,50.3333333333333
"487","r&b","urban contemporary",1971,46.3333333333333
"488","r&b","urban contemporary",1972,52.6
"489","r&b","urban contemporary",1973,28
"490","r&b","urban contemporary",1974,38.3
"491","r&b","urban contemporary",1975,44.7142857142857
"492","r&b","urban contemporary",1976,53.2222222222222
"493","r&b","urban contemporary",1977,37.6666666666667
"494","r&b","urban contemporary",1978,50.6
"495","r&b","urban contemporary",1979,70
"496","r&b","urban contemporary",1980,52
"497","r&b","urban contemporary",1981,68.5
"498","r&b","urban contemporary",1982,53.5
"499","r&b","urban contemporary",1983,65
"500","r&b","urban contemporary",1984,53
"501","r&b","urban contemporary",1985,58.5
"502","r&b","urban contemporary",1986,50.6666666666667
"503","r&b","urban contemporary",1987,2
"504","r&b","urban contemporary",1988,47.75
"505","r&b","urban contemporary",1989,53
"506","r&b","urban contemporary",1990,45.4
"507","r&b","urban contemporary",1991,60.3333333333333
"508","r&b","urban contemporary",1992,49.75
"509","r&b","urban contemporary",1993,55.2
"510","r&b","urban contemporary",1994,42.75
"511","r&b","urban contemporary",1995,44.5
"512","r&b","urban contemporary",1996,55.8888888888889
"513","r&b","urban contemporary",1997,57.9166666666667
"514","r&b","urban contemporary",1998,46.2727272727273
"515","r&b","urban contemporary",1999,57.0769230769231
"516","r&b","urban contemporary",2000,42.2857142857143
"517","r&b","urban contemporary",2001,52.9285714285714
"518","r&b","urban contemporary",2002,41.9090909090909
"519","r&b","urban contemporary",2003,56.4615384615385
"520","r&b","urban contemporary",2004,40.5384615384615
"521","r&b","urban contemporary",2005,45.4615384615385
"522","r&b","urban contemporary",2006,50.7142857142857
"523","r&b","urban contemporary",2007,57.5
"524","r&b","urban contemporary",2008,38.5555555555556
"525","r&b","urban contemporary",2009,35.5
"526","r&b","urban contemporary",2010,21.6315789473684
"527","r&b","urban contemporary",2011,36.1176470588235
"528","r&b","urban contemporary",2012,52.8571428571429
"529","r&b","urban contemporary",2013,30.7407407407407
"530","r&b","urban contemporary",2014,34.6410256410256
"531","r&b","urban contemporary",2015,33.7162162162162
"532","r&b","urban contemporary",2016,45.8153846153846
"533","r&b","urban contemporary",2017,51.6645161290323
"534","r&b","urban contemporary",2018,50.5852272727273
"535","r&b","urban contemporary",2019,60.9236276849642
"536","r&b","urban contemporary",2020,54.3333333333333
"537","r&b","urban contemporary",NA,54.3333333333333
"538","rap","gangster rap",1987,57.5
"539","rap","gangster rap",1988,38.5
"540","rap","gangster rap",1989,51
"541","rap","gangster rap",1990,51
"542","rap","gangster rap",1991,44.8888888888889
"543","rap","gangster rap",1992,34
"544","rap","gangster rap",1993,49.0666666666667
"545","rap","gangster rap",1994,42.53125
"546","rap","gangster rap",1995,49.2173913043478
"547","rap","gangster rap",1996,50.5128205128205
"548","rap","gangster rap",1997,37.304347826087
"549","rap","gangster rap",1998,31.3333333333333
"550","rap","gangster rap",1999,34.175
"551","rap","gangster rap",2000,23.7692307692308
"552","rap","gangster rap",2001,24.1666666666667
"553","rap","gangster rap",2002,23.9
"554","rap","gangster rap",2003,33.55
"555","rap","gangster rap",2004,27.1470588235294
"556","rap","gangster rap",2005,19.3953488372093
"557","rap","gangster rap",2006,26.5882352941176
"558","rap","gangster rap",2007,30.275
"559","rap","gangster rap",2008,23.0909090909091
"560","rap","gangster rap",2009,15.6666666666667
"561","rap","gangster rap",2010,23.6176470588235
"562","rap","gangster rap",2011,28.4864864864865
"563","rap","gangster rap",2012,35.6896551724138
"564","rap","gangster rap",2013,24.6818181818182
"565","rap","gangster rap",2014,26.2549019607843
"566","rap","gangster rap",2015,32.3763440860215
"567","rap","gangster rap",2016,37.6415094339623
"568","rap","gangster rap",2017,31.3060109289617
"569","rap","gangster rap",2018,36.5889570552147
"570","rap","gangster rap",2019,48.5927835051546
"571","rap","gangster rap",2020,46.2
"572","rap","hip hop",1995,73
"573","rap","hip hop",1996,77
"574","rap","hip hop",1998,63
"575","rap","hip hop",1999,55.75
"576","rap","hip hop",2000,44.3333333333333
"577","rap","hip hop",2001,56.3333333333333
"578","rap","hip hop",2002,58
"579","rap","hip hop",2003,58.5
"580","rap","hip hop",2004,52.7857142857143
"581","rap","hip hop",2005,50.2142857142857
"582","rap","hip hop",2006,58.6
"583","rap","hip hop",2007,47.6
"584","rap","hip hop",2008,57.7777777777778
"585","rap","hip hop",2009,55.1111111111111
"586","rap","hip hop",2010,66.1666666666667
"587","rap","hip hop",2012,68
"588","rap","hip hop",2013,5.5
"589","rap","hip hop",2014,56.6153846153846
"590","rap","hip hop",2015,54.2051282051282
"591","rap","hip hop",2016,55.3333333333333
"592","rap","hip hop",2017,46.0769230769231
"593","rap","hip hop",2018,49.2718894009217
"594","rap","hip hop",2019,55.2760898282695
"595","rap","hip hop",2020,55.8367346938776
"596","rap","southern hip hop",1968,53.5
"597","rap","southern hip hop",1969,38
"598","rap","southern hip hop",1970,12
"599","rap","southern hip hop",1971,3
"600","rap","southern hip hop",1972,52
"601","rap","southern hip hop",1973,38
"602","rap","southern hip hop",1974,64.5
"603","rap","southern hip hop",1976,36
"604","rap","southern hip hop",1978,72
"605","rap","southern hip hop",1981,36
"606","rap","southern hip hop",1982,62.5
"607","rap","southern hip hop",1983,39
"608","rap","southern hip hop",1984,43
"609","rap","southern hip hop",1985,45
"610","rap","southern hip hop",1986,57
"611","rap","southern hip hop",1987,45.3333333333333
"612","rap","southern hip hop",1988,42.3333333333333
"613","rap","southern hip hop",1989,41.25
"614","rap","southern hip hop",1990,34.125
"615","rap","southern hip hop",1991,43.375
"616","rap","southern hip hop",1992,41.9090909090909
"617","rap","southern hip hop",1993,50.1428571428571
"618","rap","southern hip hop",1994,51.4791666666667
"619","rap","southern hip hop",1995,45.3921568627451
"620","rap","southern hip hop",1996,42.5818181818182
"621","rap","southern hip hop",1997,39.1153846153846
"622","rap","southern hip hop",1998,27.5135135135135
"623","rap","southern hip hop",1999,29.7111111111111
"624","rap","southern hip hop",2000,31.4571428571429
"625","rap","southern hip hop",2001,30.875
"626","rap","southern hip hop",2002,38.4324324324324
"627","rap","southern hip hop",2003,36.04
"628","rap","southern hip hop",2004,34
"629","rap","southern hip hop",2005,33.8840579710145
"630","rap","southern hip hop",2006,37.2105263157895
"631","rap","southern hip hop",2007,38.4210526315789
"632","rap","southern hip hop",2008,31.8181818181818
"633","rap","southern hip hop",2009,24.1612903225806
"634","rap","southern hip hop",2010,27.9411764705882
"635","rap","southern hip hop",2011,34.1627906976744
"636","rap","southern hip hop",2012,28.2650602409639
"637","rap","southern hip hop",2013,24.1967213114754
"638","rap","southern hip hop",2014,28.28
"639","rap","southern hip hop",2015,40.3048780487805
"640","rap","southern hip hop",2016,36.9765625
"641","rap","southern hip hop",2017,37.381679389313
"642","rap","southern hip hop",2018,42.1754385964912
"643","rap","southern hip hop",2019,50.3529411764706
"644","rap","southern hip hop",NA,79
"645","rap","trap",2012,51.75
"646","rap","trap",2013,33.25
"647","rap","trap",2014,45.4545454545455
"648","rap","trap",2015,47.2857142857143
"649","rap","trap",2016,50.5294117647059
"650","rap","trap",2017,45.9166666666667
"651","rap","trap",2018,43.2462686567164
"652","rap","trap",2019,53.9987577639752
"653","rap","trap",2020,41.9285714285714
"654","rock","album rock",1963,59
"655","rock","album rock",1964,15.5
"656","rock","album rock",1965,76
"657","rock","album rock",1966,63.3333333333333
"658","rock","album rock",1967,46.375
"659","rock","album rock",1968,59.2
"660","rock","album rock",1969,43.0909090909091
"661","rock","album rock",1970,36.56
"662","rock","album rock",1971,42.5238095238095
"663","rock","album rock",1972,51.2727272727273
"664","rock","album rock",1973,38.7222222222222
"665","rock","album rock",1974,40.6216216216216
"666","rock","album rock",1975,52.5454545454545
"667","rock","album rock",1976,43.7878787878788
"668","rock","album rock",1977,51.56
"669","rock","album rock",1978,43.1891891891892
"670","rock","album rock",1979,57.5
"671","rock","album rock",1980,47
"672","rock","album rock",1981,60.3333333333333
"673","rock","album rock",1982,50.7727272727273
"674","rock","album rock",1983,42.2857142857143
"675","rock","album rock",1984,33.8684210526316
"676","rock","album rock",1985,35.05
"677","rock","album rock",1986,51.4545454545455
"678","rock","album rock",1987,39.6451612903226
"679","rock","album rock",1988,57.5714285714286
"680","rock","album rock",1989,50.3
"681","rock","album rock",1990,56
"682","rock","album rock",1991,15.0588235294118
"683","rock","album rock",1992,40.5
"684","rock","album rock",1993,43.8
"685","rock","album rock",1994,53
"686","rock","album rock",1995,22.5
"687","rock","album rock",1996,39.7142857142857
"688","rock","album rock",1997,23.125
"689","rock","album rock",1998,35.4166666666667
"690","rock","album rock",1999,52.1666666666667
"691","rock","album rock",2000,37.3333333333333
"692","rock","album rock",2001,25.1333333333333
"693","rock","album rock",2002,42.5
"694","rock","album rock",2003,43.7857142857143
"695","rock","album rock",2004,50
"696","rock","album rock",2005,21.9701492537313
"697","rock","album rock",2006,42.2380952380952
"698","rock","album rock",2007,31.8387096774194
"699","rock","album rock",2008,28.6086956521739
"700","rock","album rock",2009,29.3571428571429
"701","rock","album rock",2010,16.0263157894737
"702","rock","album rock",2011,34.5714285714286
"703","rock","album rock",2012,17
"704","rock","album rock",2013,50.5
"705","rock","album rock",2014,39.5882352941176
"706","rock","album rock",2015,27.7222222222222
"707","rock","album rock",2016,29
"708","rock","album rock",2017,18
"709","rock","album rock",2018,38.25
"710","rock","album rock",2019,42.3333333333333
"711","rock","album rock",NA,61.4
"712","rock","classic rock",1958,73
"713","rock","classic rock",1962,64
"714","rock","classic rock",1963,35.5
"715","rock","classic rock",1964,42
"716","rock","classic rock",1965,65.5
"717","rock","classic rock",1966,44
"718","rock","classic rock",1967,56.3333333333333
"719","rock","classic rock",1968,64.125
"720","rock","classic rock",1969,48
"721","rock","classic rock",1970,44.8846153846154
"722","rock","classic rock",1971,47.7391304347826
"723","rock","classic rock",1972,54.8648648648649
"724","rock","classic rock",1973,50.0606060606061
"725","rock","classic rock",1974,45.3529411764706
"726","rock","classic rock",1975,47.45
"727","rock","classic rock",1976,46.1774193548387
"728","rock","classic rock",1977,53.8409090909091
"729","rock","classic rock",1978,46.5416666666667
"730","rock","classic rock",1979,51.5666666666667
"731","rock","classic rock",1980,62.7096774193548
"732","rock","classic rock",1981,52.6875
"733","rock","classic rock",1982,52.1428571428571
"734","rock","classic rock",1983,57.4166666666667
"735","rock","classic rock",1984,47.12
"736","rock","classic rock",1985,53.6153846153846
"737","rock","classic rock",1986,42.6428571428571
"738","rock","classic rock",1987,35.0769230769231
"739","rock","classic rock",1988,51.5
"740","rock","classic rock",1989,57.3076923076923
"741","rock","classic rock",1990,46.1538461538462
"742","rock","classic rock",1991,45.3333333333333
"743","rock","classic rock",1992,49.6666666666667
"744","rock","classic rock",1993,26.8181818181818
"745","rock","classic rock",1994,39.7142857142857
"746","rock","classic rock",1995,23
"747","rock","classic rock",1996,40
"748","rock","classic rock",1997,43.6666666666667
"749","rock","classic rock",1998,23.6428571428571
"750","rock","classic rock",1999,49.3333333333333
"751","rock","classic rock",2000,26.375
"752","rock","classic rock",2001,41.5
"753","rock","classic rock",2002,26.7272727272727
"754","rock","classic rock",2003,34.0769230769231
"755","rock","classic rock",2004,33.1875
"756","rock","classic rock",2005,25.046511627907
"757","rock","classic rock",2006,40.32
"758","rock","classic rock",2007,31.5555555555556
"759","rock","classic rock",2008,18.1020408163265
"760","rock","classic rock",2009,16.1851851851852
"761","rock","classic rock",2010,21.5277777777778
"762","rock","classic rock",2011,35.6315789473684
"763","rock","classic rock",2012,34
"764","rock","classic rock",2013,38.5
"765","rock","classic rock",2014,36.5454545454545
"766","rock","classic rock",2015,18.1666666666667
"767","rock","classic rock",2016,19.45
"768","rock","classic rock",2017,35.6363636363636
"769","rock","classic rock",2018,41.8421052631579
"770","rock","classic rock",2019,35.8
"771","rock","classic rock",2020,50.6666666666667
"772","rock","classic rock",NA,42.5333333333333
"773","rock","hard rock",1963,15
"774","rock","hard rock",1965,1
"775","rock","hard rock",1966,73
"776","rock","hard rock",1967,29
"777","rock","hard rock",1968,46
"778","rock","hard rock",1969,44
"779","rock","hard rock",1970,36.4285714285714
"780","rock","hard rock",1971,34.0714285714286
"781","rock","hard rock",1972,37.1111111111111
"782","rock","hard rock",1973,38.5
"783","rock","hard rock",1974,24.8
"784","rock","hard rock",1975,39.4444444444444
"785","rock","hard rock",1976,36.1111111111111
"786","rock","hard rock",1977,25.1538461538462
"787","rock","hard rock",1978,40.6666666666667
"788","rock","hard rock",1979,30.4615384615385
"789","rock","hard rock",1980,42.5
"790","rock","hard rock",1981,23.8333333333333
"791","rock","hard rock",1982,35.125
"792","rock","hard rock",1983,40.5
"793","rock","hard rock",1984,34.9090909090909
"794","rock","hard rock",1985,50.7
"795","rock","hard rock",1986,44.2941176470588
"796","rock","hard rock",1987,37.9230769230769
"797","rock","hard rock",1988,37.7727272727273
"798","rock","hard rock",1989,42.3529411764706
"799","rock","hard rock",1990,53.4166666666667
"800","rock","hard rock",1991,38.3333333333333
"801","rock","hard rock",1992,51.7142857142857
"802","rock","hard rock",1993,26.6666666666667
"803","rock","hard rock",1994,40
"804","rock","hard rock",1995,42.2857142857143
"805","rock","hard rock",1996,22.3333333333333
"806","rock","hard rock",1997,39.6666666666667
"807","rock","hard rock",1998,35
"808","rock","hard rock",1999,58
"809","rock","hard rock",2000,31.44
"810","rock","hard rock",2001,31.6451612903226
"811","rock","hard rock",2002,46.75
"812","rock","hard rock",2003,35.6315789473684
"813","rock","hard rock",2004,40.8064516129032
"814","rock","hard rock",2005,36.1212121212121
"815","rock","hard rock",2006,47.9333333333333
"816","rock","hard rock",2007,24.0555555555556
"817","rock","hard rock",2008,24.7659574468085
"818","rock","hard rock",2009,25.5454545454545
"819","rock","hard rock",2010,31.3529411764706
"820","rock","hard rock",2011,33.9523809523809
"821","rock","hard rock",2012,29.3333333333333
"822","rock","hard rock",2013,33.4716981132075
"823","rock","hard rock",2014,22.95
"824","rock","hard rock",2015,45.92
"825","rock","hard rock",2016,40.5789473684211
"826","rock","hard rock",2017,38.6046511627907
"827","rock","hard rock",2018,37.7205882352941
"828","rock","hard rock",2019,36.4032697547684
"829","rock","hard rock",2020,37.59375
"830","rock","hard rock",NA,12.3333333333333
"831","rock","permanent wave",1964,71.5
"832","rock","permanent wave",1965,38.5
"833","rock","permanent wave",1966,63.5
"834","rock","permanent wave",1967,37.1666666666667
"835","rock","permanent wave",1968,55
"836","rock","permanent wave",1969,60.3333333333333
"837","rock","permanent wave",1970,64.7692307692308
"838","rock","permanent wave",1971,48.1666666666667
"839","rock","permanent wave",1972,56.5454545454545
"840","rock","permanent wave",1973,63.3333333333333
"841","rock","permanent wave",1974,56.6666666666667
"842","rock","permanent wave",1975,58.875
"843","rock","permanent wave",1976,63
"844","rock","permanent wave",1977,62.7272727272727
"845","rock","permanent wave",1978,54.6153846153846
"846","rock","permanent wave",1979,59.4666666666667
"847","rock","permanent wave",1980,50.9285714285714
"848","rock","permanent wave",1981,58.2666666666667
"849","rock","permanent wave",1982,53.8571428571429
"850","rock","permanent wave",1983,55.44
"851","rock","permanent wave",1984,55.4782608695652
"852","rock","permanent wave",1985,54.0357142857143
"853","rock","permanent wave",1986,49.4090909090909
"854","rock","permanent wave",1987,56.1935483870968
"855","rock","permanent wave",1988,52.4761904761905
"856","rock","permanent wave",1989,56.5
"857","rock","permanent wave",1990,53.1538461538462
"858","rock","permanent wave",1991,56.9583333333333
"859","rock","permanent wave",1992,59.25
"860","rock","permanent wave",1993,57.5
"861","rock","permanent wave",1994,54.0769230769231
"862","rock","permanent wave",1995,53.6923076923077
"863","rock","permanent wave",1996,52.6666666666667
"864","rock","permanent wave",1997,64.2571428571429
"865","rock","permanent wave",1998,61.6538461538462
"866","rock","permanent wave",1999,57.6296296296296
"867","rock","permanent wave",2000,60.3809523809524
"868","rock","permanent wave",2001,63.0357142857143
"869","rock","permanent wave",2002,54.3846153846154
"870","rock","permanent wave",2003,54.0384615384615
"871","rock","permanent wave",2004,62.4583333333333
"872","rock","permanent wave",2005,54.6969696969697
"873","rock","permanent wave",2006,58.04
"874","rock","permanent wave",2007,62.8
"875","rock","permanent wave",2008,52.2173913043478
"876","rock","permanent wave",2009,56.7857142857143
"877","rock","permanent wave",2010,49.25
"878","rock","permanent wave",2011,57.7727272727273
"879","rock","permanent wave",2012,58.8235294117647
"880","rock","permanent wave",2013,50.3478260869565
"881","rock","permanent wave",2014,52.2
"882","rock","permanent wave",2015,53.5555555555556
"883","rock","permanent wave",2016,52.3103448275862
"884","rock","permanent wave",2017,49.4333333333333
"885","rock","permanent wave",2018,47.6176470588235
"886","rock","permanent wave",2019,34.9247311827957
"887","rock","permanent wave",2020,41.4615384615385
"888","rock","permanent wave",NA,69
